SHIPMENTDATE,Consignment,Customer,INVOICE,REFERENCE,WEIGHT,ORIGIN,DESTINATION,ZONE,VALUE
2025-06-28,IN-CONS-3066,Client_A,INV-IN-7940,IN-REF-034,27.87,Berlin,Coventry Hub,International,744.54
2025-06-21,IN-CONS-3964,Client_A,INV-IN-7495,IN-REF-035,47.19,Berlin,Coventry Hub,International,945.02
2025-06-11,IN-CONS-3761,Client_A,INV-IN-7055,IN-REF-036,10.75,Madrid,Coventry Hub,International,2315.13
2025-06-28,IN-CONS-3185,Client_B,INV-IN-7448,IN-REF-037,30.82,Paris,Coventry Hub,International,1548.77
2025-06-27,IN-CONS-3043,Client_A,INV-IN-7652,IN-REF-038,16.3,Madrid,Coventry Hub,International,427.22
2025-06-10,IN-CONS-3244,Client_A,INV-IN-7213,IN-REF-039,8.0,Madrid,Coventry Hub,International,4134.05
2025-06-18,IN-CONS-3174,Client_A,INV-IN-7451,IN-REF-040,18.62,Paris,Coventry Hub,International,3210.73
2025-06-11,IN-CONS-3972,Client_B,INV-IN-7624,IN-REF-041,19.35,Berlin,Coventry Hub,International,1137.56
2025-06-08,IN-CONS-3294,Client_C,INV-IN-7526,IN-REF-042,41.91,Madrid,Coventry Hub,International,3371.58
2025-06-27,IN-CONS-3380,Client_C,INV-IN-7399,IN-REF-043,38.02,Berlin,Coventry Hub,International,208.37
2025-06-18,IN-CONS-3904,Client_B,INV-IN-7237,IN-REF-044,32.5,Berlin,Coventry Hub,International,991.06
2025-06-20,IN-CONS-3024,Client_A,INV-IN-7110,IN-REF-045,31.04,Berlin,Coventry Hub,International,2281.27
2025-06-09,IN-CONS-3616,Client_B,INV-IN-7051,IN-REF-046,39.58,Paris,Coventry Hub,International,231.68
2025-06-06,IN-CONS-3997,Client_A,INV-IN-7844,IN-REF-047,38.68,Madrid,Coventry Hub,International,3900.1
2025-06-28,IN-CONS-3239,Client_C,INV-IN-7095,IN-REF-048,32.83,Paris,Coventry Hub,International,1817.77
2025-06-23,IN-CONS-3867,Client_A,INV-IN-7137,IN-REF-049,38.61,Berlin,Coventry Hub,International,3001.01
2025-06-14,IN-CONS-3361,Client_C,INV-IN-7272,IN-REF-050,24.93,Paris,Coventry Hub,International,2909.51
2025-06-13,IN-CONS-3369,Client_A,INV-IN-7048,IN-REF-051,32.15,Paris,Coventry Hub,International,1579.48
2025-06-07,IN-CONS-3548,Client_B,INV-IN-7300,IN-REF-052,29.59,Paris,Coventry Hub,International,1552.44
2025-06-12,IN-CONS-3912,Client_B,INV-IN-7220,IN-REF-053,11.26,Madrid,Coventry Hub,International,1972.54
2025-06-04,IN-CONS-3717,Client_B,INV-IN-7363,IN-REF-054,14.32,Berlin,Coventry Hub,International,4401.88
2025-06-12,IN-CONS-3807,Client_B,INV-IN-7903,IN-REF-055,34.97,Madrid,Coventry Hub,International,435.11
2025-06-28,IN-CONS-3406,Client_B,INV-IN-7464,IN-REF-056,27.39,Paris,Coventry Hub,International,3063.32
2025-06-24,IN-CONS-3112,Client_B,INV-IN-7137,IN-REF-057,43.9,Madrid,Coventry Hub,International,3085.4
2025-06-24,IN-CONS-3393,Client_B,INV-IN-7568,IN-REF-058,31.6,Madrid,Coventry Hub,International,1169.84
2025-06-26,IN-CONS-3609,Client_B,INV-IN-7658,IN-REF-059,26.66,Berlin,Coventry Hub,International,1748.74
2025-06-18,IN-CONS-3391,Client_A,INV-IN-7593,IN-REF-060,22.03,Berlin,Coventry Hub,International,3456.54
2025-06-24,IN-CONS-3304,Client_B,INV-IN-7919,IN-REF-061,47.42,Madrid,Coventry Hub,International,4418.57
2025-06-03,IN-CONS-3715,Client_A,INV-IN-7161,IN-REF-062,38.05,Berlin,Coventry Hub,International,2695.1
2025-06-14,IN-CONS-3937,Client_A,INV-IN-7088,IN-REF-063,26.39,Berlin,Coventry Hub,International,640.44
2025-06-05,IN-CONS-3371,Client_A,INV-IN-7046,IN-REF-064,12.68,Madrid,Coventry Hub,International,2842.59
2025-06-11,IN-CONS-3129,Client_C,INV-IN-7457,IN-REF-065,6.89,Berlin,Coventry Hub,International,562.41
2025-06-09,IN-CONS-3482,Client_C,INV-IN-7192,IN-REF-066,21.53,Berlin,Coventry Hub,International,491.21
2025-06-20,IN-CONS-3461,Client_B,INV-IN-7233,IN-REF-067,40.93,Paris,Coventry Hub,International,4475.88
2025-06-17,IN-CONS-3561,Client_B,INV-IN-7494,IN-REF-068,19.15,Madrid,Coventry Hub,International,3140.02
2025-06-14,IN-CONS-3344,Client_A,INV-IN-7185,IN-REF-069,25.1,Paris,Coventry Hub,International,4914.64
2025-06-20,IN-CONS-3954,Client_B,INV-IN-7328,IN-REF-070,29.55,Berlin,Coventry Hub,International,4654.99
2025-06-13,IN-CONS-3787,Client_A,INV-IN-7727,IN-REF-071,26.14,Berlin,Coventry Hub,International,3077.48
2025-06-28,IN-CONS-3661,Client_A,INV-IN-7332,IN-REF-072,45.91,Berlin,Coventry Hub,International,1848.67
2025-06-20,IN-CONS-3449,Client_C,INV-IN-7969,IN-REF-073,18.08,Berlin,Coventry Hub,International,4499.75
2025-06-25,IN-CONS-3331,Client_A,INV-IN-7675,IN-REF-074,31.98,Berlin,Coventry Hub,International,4899.48
2025-06-15,IN-CONS-3300,Client_A,INV-IN-7940,IN-REF-075,2.73,Madrid,Coventry Hub,International,1048.79
2025-06-28,IN-CONS-3969,Client_C,INV-IN-7244,IN-REF-076,39.08,Paris,Coventry Hub,International,706.9
2025-06-05,IN-CONS-3815,Client_A,INV-IN-7588,IN-REF-077,10.01,Paris,Coventry Hub,International,214.31
2025-06-24,IN-CONS-3610,Client_A,INV-IN-7531,IN-REF-078,17.96,Berlin,Coventry Hub,International,1839.09
2025-06-14,IN-CONS-3668,Client_C,INV-IN-7802,IN-REF-079,4.58,Berlin,Coventry Hub,International,4571.95
2025-06-29,IN-CONS-3074,Client_B,INV-IN-7689,IN-REF-080,30.7,Berlin,Coventry Hub,International,520.23
2025-06-07,IN-CONS-3710,Client_C,INV-IN-7949,IN-REF-081,48.79,Paris,Coventry Hub,International,491.52
2025-06-27,IN-CONS-3737,Client_A,INV-IN-7503,IN-REF-082,33.2,Berlin,Coventry Hub,International,4009.29
2025-06-15,IN-CONS-3824,Client_A,INV-IN-7609,IN-REF-083,10.97,Paris,Coventry Hub,International,1490.51
2025-06-10,IN-CONS-3162,Client_B,INV-IN-7312,IN-REF-084,16.13,Paris,Coventry Hub,International,2281.04
2025-06-27,IN-CONS-3975,Client_C,INV-IN-7351,IN-REF-085,35.82,Madrid,Coventry Hub,International,2424.65
2025-06-02,IN-CONS-3843,Client_A,INV-IN-7979,IN-REF-086,31.65,Paris,Coventry Hub,International,4551.53
2025-06-21,IN-CONS-3673,Client_C,INV-IN-7197,IN-REF-087,18.04,Madrid,Coventry Hub,International,1773.51
2025-06-08,IN-CONS-3928,Client_A,INV-IN-7268,IN-REF-088,25.5,Berlin,Coventry Hub,International,4873.24
2025-06-03,IN-CONS-3060,Client_B,INV-IN-7541,IN-REF-089,4.79,Berlin,Coventry Hub,International,4427.18
2025-06-12,IN-CONS-3822,Client_A,INV-IN-7377,IN-REF-090,2.57,Paris,Coventry Hub,International,4846.37
2025-06-27,IN-CONS-3459,Client_A,INV-IN-7019,IN-REF-091,15.64,Paris,Coventry Hub,International,2194.49
2025-06-06,IN-CONS-3167,Client_C,INV-IN-7616,IN-REF-092,32.0,Paris,Coventry Hub,International,4790.62
2025-06-12,IN-CONS-3777,Client_B,INV-IN-7836,IN-REF-093,45.49,Madrid,Coventry Hub,International,345.34
2025-06-10,IN-CONS-3384,Client_C,INV-IN-7953,IN-REF-094,22.74,Berlin,Coventry Hub,International,3959.25
2025-06-20,IN-CONS-3420,Client_A,INV-IN-7144,IN-REF-095,36.83,Paris,Coventry Hub,International,1278.59
2025-06-27,IN-CONS-3960,Client_C,INV-IN-7352,IN-REF-096,17.0,Madrid,Coventry Hub,International,4529.75
2025-06-29,IN-CONS-3540,Client_C,INV-IN-7499,IN-REF-097,35.72,Madrid,Coventry Hub,International,407.28
2025-06-09,IN-CONS-3682,Client_C,INV-IN-7542,IN-REF-098,16.29,Madrid,Coventry Hub,International,2168.51
2025-06-10,IN-CONS-3705,Client_A,INV-IN-7032,IN-REF-099,29.94,Madrid,Coventry Hub,International,1254.18
2025-06-21,IN-CONS-3230,Client_B,INV-IN-7080,IN-REF-100,45.87,Madrid,Coventry Hub,International,398.92
2025-06-09,IN-CONS-3369,Client_A,INV-IN-7712,IN-REF-101,25.2,Madrid,Coventry Hub,International,1460.57
2025-06-06,IN-CONS-3535,Client_B,INV-IN-7681,IN-REF-102,32.49,Berlin,Coventry Hub,International,883.01
2025-06-25,IN-CONS-3049,Client_A,INV-IN-7584,IN-REF-103,33.12,Paris,Coventry Hub,International,1345.69
2025-06-02,IN-CONS-3036,Client_C,INV-IN-7578,IN-REF-104,16.19,Berlin,Coventry Hub,International,2189.79
2025-06-27,IN-CONS-3813,Client_C,INV-IN-7667,IN-REF-105,2.51,Paris,Coventry Hub,International,3637.04
2025-06-14,IN-CONS-3308,Client_A,INV-IN-7772,IN-REF-106,47.52,Berlin,Coventry Hub,International,4334.35
2025-06-18,IN-CONS-3314,Client_C,INV-IN-7763,IN-REF-107,32.05,Paris,Coventry Hub,International,4197.9
2025-06-27,IN-CONS-3920,Client_A,INV-IN-7512,IN-REF-108,30.35,Berlin,Coventry Hub,International,4314.9
2025-06-06,IN-CONS-3025,Client_A,INV-IN-7785,IN-REF-109,27.6,Berlin,Coventry Hub,International,3587.95
2025-06-24,IN-CONS-3035,Client_B,INV-IN-7825,IN-REF-110,2.56,Madrid,Coventry Hub,International,3306.67
2025-06-13,IN-CONS-3204,Client_B,INV-IN-7609,IN-REF-111,18.43,Berlin,Coventry Hub,International,286.08
2025-06-10,IN-CONS-3542,Client_C,INV-IN-7726,IN-REF-112,45.6,Berlin,Coventry Hub,International,727.81
2025-06-23,IN-CONS-3056,Client_B,INV-IN-7721,IN-REF-113,32.74,Berlin,Coventry Hub,International,4826.92
2025-06-09,IN-CONS-3242,Client_B,INV-IN-7397,IN-REF-114,38.92,Paris,Coventry Hub,International,4043.97
2025-06-11,IN-CONS-3920,Client_C,INV-IN-7314,IN-REF-115,32.95,Paris,Coventry Hub,International,4130.03
2025-06-03,IN-CONS-3628,Client_A,INV-IN-7212,IN-REF-116,21.22,Berlin,Coventry Hub,International,4965.78
2025-06-07,IN-CONS-3262,Client_C,INV-IN-7474,IN-REF-117,44.94,Madrid,Coventry Hub,International,2958.69
2025-06-29,IN-CONS-3648,Client_C,INV-IN-7372,IN-REF-118,31.6,Madrid,Coventry Hub,International,3006.5
2025-06-29,IN-CONS-3111,Client_C,INV-IN-7689,IN-REF-119,24.17,Paris,Coventry Hub,International,3934.15
2025-06-14,IN-CONS-3293,Client_A,INV-IN-7684,IN-REF-120,32.15,Paris,Coventry Hub,International,2958.6
2025-06-26,IN-CONS-3251,Client_C,INV-IN-7337,IN-REF-121,40.92,Paris,Coventry Hub,International,782.71
2025-06-17,IN-CONS-3970,Client_A,INV-IN-7495,IN-REF-122,46.32,Paris,Coventry Hub,International,751.56
2025-06-26,IN-CONS-3256,Client_A,INV-IN-7612,IN-REF-123,18.77,Berlin,Coventry Hub,International,1994.36
2025-06-27,IN-CONS-3493,Client_B,INV-IN-7201,IN-REF-124,19.62,Berlin,Coventry Hub,International,4319.52
2025-06-08,IN-CONS-3533,Client_B,INV-IN-7150,IN-REF-125,25.23,Madrid,Coventry Hub,International,2071.94
2025-06-11,IN-CONS-3162,Client_A,INV-IN-7203,IN-REF-126,3.23,Madrid,Coventry Hub,International,2526.25
2025-06-11,IN-CONS-3346,Client_A,INV-IN-7250,IN-REF-127,21.53,Berlin,Coventry Hub,International,2434.16
2025-06-21,IN-CONS-3879,Client_B,INV-IN-7733,IN-REF-128,19.16,Madrid,Coventry Hub,International,3581.13
2025-06-14,IN-CONS-3137,Client_A,INV-IN-7304,IN-REF-129,28.55,Paris,Coventry Hub,International,1135.94
2025-06-15,IN-CONS-3028,Client_B,INV-IN-7406,IN-REF-130,34.18,Paris,Coventry Hub,International,3174.52
2025-06-19,IN-CONS-3649,Client_A,INV-IN-7991,IN-REF-131,33.26,Berlin,Coventry Hub,International,246.81
2025-06-26,IN-CONS-3382,Client_B,INV-IN-7753,IN-REF-132,1.49,Berlin,Coventry Hub,International,3707.58
2025-06-05,IN-CONS-3409,Client_A,INV-IN-7992,IN-REF-133,34.73,Paris,Coventry Hub,International,2307.77
2025-06-04,IN-CONS-3303,Client_B,INV-IN-7578,IN-REF-134,42.57,Berlin,Coventry Hub,International,2655.73
2025-06-22,IN-CONS-3107,Client_C,INV-IN-7412,IN-REF-135,31.97,Berlin,Coventry Hub,International,2096.76
2025-06-10,IN-CONS-3943,Client_B,INV-IN-7649,IN-REF-136,33.84,Paris,Coventry Hub,International,2629.73
2025-06-03,IN-CONS-3908,Client_B,INV-IN-7721,IN-REF-137,12.02,Berlin,Coventry Hub,International,912.88
2025-06-10,IN-CONS-3010,Client_A,INV-IN-7303,IN-REF-138,2.4,Madrid,Coventry Hub,International,206.67
2025-06-12,IN-CONS-3976,Client_B,INV-IN-7517,IN-REF-139,43.3,Madrid,Coventry Hub,International,3065.84
2025-06-01,IN-CONS-3745,Client_B,INV-IN-7598,IN-REF-140,9.34,Berlin,Coventry Hub,International,4502.99
2025-06-21,IN-CONS-3981,Client_A,INV-IN-7373,IN-REF-141,49.11,Paris,Coventry Hub,International,3889.81
2025-06-15,IN-CONS-3326,Client_A,INV-IN-7634,IN-REF-142,49.32,Paris,Coventry Hub,International,4409.59
2025-06-15,IN-CONS-3991,Client_A,INV-IN-7819,IN-REF-143,1.21,Madrid,Coventry Hub,International,3996.66
2025-06-17,IN-CONS-3261,Client_C,INV-IN-7914,IN-REF-144,43.4,Paris,Coventry Hub,International,1255.21
2025-06-07,IN-CONS-3698,Client_A,INV-IN-7261,IN-REF-145,17.09,Berlin,Coventry Hub,International,4246.78
2025-06-01,IN-CONS-3579,Client_A,INV-IN-7683,IN-REF-146,33.79,Berlin,Coventry Hub,International,4631.81
2025-06-16,IN-CONS-3471,Client_A,INV-IN-7449,IN-REF-147,37.69,Madrid,Coventry Hub,International,3085.62
2025-06-10,IN-CONS-3068,Client_C,INV-IN-7353,IN-REF-148,15.5,Paris,Coventry Hub,International,1920.55
2025-06-27,IN-CONS-3273,Client_C,INV-IN-7047,IN-REF-149,26.05,Madrid,Coventry Hub,International,4214.52
2025-06-15,IN-CONS-3829,Client_C,INV-IN-7528,IN-REF-150,9.34,Berlin,Coventry Hub,International,1848.44
2025-06-29,IN-CONS-3220,Client_A,INV-IN-7719,IN-REF-151,36.1,Berlin,Coventry Hub,International,335.46
2025-06-14,IN-CONS-3307,Client_C,INV-IN-7738,IN-REF-152,14.94,Berlin,Coventry Hub,International,1500.31
2025-06-07,IN-CONS-3128,Client_B,INV-IN-7177,IN-REF-153,37.93,Madrid,Coventry Hub,International,2796.88
2025-06-21,IN-CONS-3861,Client_B,INV-IN-7970,IN-REF-154,3.43,Madrid,Coventry Hub,International,2105.63
2025-06-01,IN-CONS-3366,Client_B,INV-IN-7670,IN-REF-155,35.02,Paris,Coventry Hub,International,1043.8
2025-06-05,IN-CONS-3442,Client_C,INV-IN-7377,IN-REF-156,27.25,Berlin,Coventry Hub,International,309.65
2025-06-05,IN-CONS-3269,Client_A,INV-IN-7178,IN-REF-157,26.76,Paris,Coventry Hub,International,795.37
2025-06-16,IN-CONS-3477,Client_A,INV-IN-7508,IN-REF-158,4.33,Paris,Coventry Hub,International,955.93
2025-06-13,IN-CONS-3431,Client_A,INV-IN-7586,IN-REF-159,27.62,Madrid,Coventry Hub,International,2334.31
2025-06-27,IN-CONS-3680,Client_A,INV-IN-7874,IN-REF-160,40.04,Madrid,Coventry Hub,International,1071.33
2025-06-08,IN-CONS-3128,Client_C,INV-IN-7686,IN-REF-161,2.58,Madrid,Coventry Hub,International,4807.3
2025-06-22,IN-CONS-3745,Client_A,INV-IN-7147,IN-REF-162,30.2,Madrid,Coventry Hub,International,4954.59
2025-06-28,IN-CONS-3988,Client_C,INV-IN-7764,IN-REF-163,11.3,Paris,Coventry Hub,International,3718.15
2025-06-13,IN-CONS-3580,Client_C,INV-IN-7066,IN-REF-164,29.9,Berlin,Coventry Hub,International,3381.35
2025-06-07,IN-CONS-3625,Client_B,INV-IN-7046,IN-REF-165,15.11,Berlin,Coventry Hub,International,635.12
2025-06-11,IN-CONS-3776,Client_C,INV-IN-7359,IN-REF-166,5.06,Madrid,Coventry Hub,International,2174.34
2025-06-20,IN-CONS-3608,Client_A,INV-IN-7558,IN-REF-167,18.8,Paris,Coventry Hub,International,4686.93
2025-06-14,IN-CONS-3452,Client_B,INV-IN-7343,IN-REF-168,10.98,Paris,Coventry Hub,International,671.56
2025-06-15,IN-CONS-3313,Client_A,INV-IN-7187,IN-REF-169,18.68,Berlin,Coventry Hub,International,1724.95
2025-06-13,IN-CONS-3209,Client_A,INV-IN-7106,IN-REF-170,37.29,Madrid,Coventry Hub,International,3016.3
2025-06-22,IN-CONS-3914,Client_C,INV-IN-7133,IN-REF-171,41.31,Berlin,Coventry Hub,International,4431.75
2025-06-20,IN-CONS-3898,Client_B,INV-IN-7312,IN-REF-172,21.49,Madrid,Coventry Hub,International,4819.63
2025-06-02,IN-CONS-3785,Client_C,INV-IN-7705,IN-REF-173,48.78,Berlin,Coventry Hub,International,690.16
2025-06-07,IN-CONS-3533,Client_A,INV-IN-7884,IN-REF-174,7.71,Paris,Coventry Hub,International,1840.53
2025-06-03,IN-CONS-3963,Client_C,INV-IN-7985,IN-REF-175,27.87,Berlin,Coventry Hub,International,1060.7
2025-06-08,IN-CONS-3719,Client_B,INV-IN-7216,IN-REF-176,24.91,Madrid,Coventry Hub,International,4779.88
2025-06-27,IN-CONS-3578,Client_B,INV-IN-7114,IN-REF-177,25.5,Madrid,Coventry Hub,International,4182.08
2025-06-18,IN-CONS-3246,Client_A,INV-IN-7926,IN-REF-178,32.34,Paris,Coventry Hub,International,619.66
2025-06-24,IN-CONS-3533,Client_B,INV-IN-7372,IN-REF-179,3.05,Madrid,Coventry Hub,International,3232.76
2025-06-21,IN-CONS-3238,Client_B,INV-IN-7337,IN-REF-180,46.1,Madrid,Coventry Hub,International,3039.13
2025-06-20,IN-CONS-3776,Client_A,INV-IN-7998,IN-REF-181,22.31,Madrid,Coventry Hub,International,2007.0
2025-06-29,IN-CONS-3763,Client_A,INV-IN-7734,IN-REF-182,19.45,Berlin,Coventry Hub,International,1327.83
2025-06-21,IN-CONS-3700,Client_A,INV-IN-7987,IN-REF-183,32.5,Madrid,Coventry Hub,International,460.27
2025-06-16,IN-CONS-3063,Client_A,INV-IN-7000,IN-REF-184,7.97,Madrid,Coventry Hub,International,2097.89
2025-06-25,IN-CONS-3062,Client_C,INV-IN-7566,IN-REF-185,14.51,Paris,Coventry Hub,International,4012.76
2025-06-17,IN-CONS-3600,Client_A,INV-IN-7055,IN-REF-186,46.47,Berlin,Coventry Hub,International,1823.27
2025-06-26,IN-CONS-3273,Client_B,INV-IN-7005,IN-REF-187,2.79,Berlin,Coventry Hub,International,4672.1
2025-06-09,IN-CONS-3348,Client_B,INV-IN-7850,IN-REF-188,30.73,Paris,Coventry Hub,International,3912.16
2025-06-26,IN-CONS-3212,Client_B,INV-IN-7432,IN-REF-189,49.2,Paris,Coventry Hub,International,1411.12
2025-06-10,IN-CONS-3425,Client_B,INV-IN-7086,IN-REF-190,28.8,Madrid,Coventry Hub,International,4561.36
2025-06-25,IN-CONS-3439,Client_B,INV-IN-7912,IN-REF-191,5.25,Berlin,Coventry Hub,International,1565.61
2025-06-13,IN-CONS-3883,Client_C,INV-IN-7364,IN-REF-192,47.02,Madrid,Coventry Hub,International,4289.88
2025-06-17,IN-CONS-3638,Client_C,INV-IN-7126,IN-REF-193,33.14,Madrid,Coventry Hub,International,4532.24
2025-06-04,IN-CONS-3988,Client_A,INV-IN-7078,IN-REF-194,5.45,Madrid,Coventry Hub,International,3856.03
2025-06-09,IN-CONS-3266,Client_A,INV-IN-7182,IN-REF-195,19.66,Berlin,Coventry Hub,International,988.59
2025-06-29,IN-CONS-3128,Client_B,INV-IN-7964,IN-REF-196,32.67,Paris,Coventry Hub,International,2983.43
2025-06-25,IN-CONS-3346,Client_B,INV-IN-7294,IN-REF-197,47.98,Madrid,Coventry Hub,International,4088.12
2025-06-03,IN-CONS-3613,Client_A,INV-IN-7899,IN-REF-198,47.84,Berlin,Coventry Hub,International,540.12
2025-06-26,IN-CONS-3354,Client_B,INV-IN-7625,IN-REF-199,7.33,Berlin,Coventry Hub,International,2952.14
2025-06-17,IN-CONS-3359,Client_A,INV-IN-7593,IN-REF-200,5.62,Paris,Coventry Hub,International,1278.64
2025-06-01,IN-CONS-3076,Client_C,INV-IN-7314,IN-REF-201,39.11,Berlin,Coventry Hub,International,2308.31
2025-06-20,IN-CONS-3442,Client_C,INV-IN-7261,IN-REF-202,11.51,Berlin,Coventry Hub,International,4605.69
2025-06-27,IN-CONS-3052,Client_A,INV-IN-7897,IN-REF-203,25.68,Madrid,Coventry Hub,International,3766.72
2025-06-20,IN-CONS-3236,Client_B,INV-IN-7779,IN-REF-204,46.43,Berlin,Coventry Hub,International,2271.56
2025-06-24,IN-CONS-3828,Client_C,INV-IN-7507,IN-REF-205,43.71,Madrid,Coventry Hub,International,1687.15
2025-06-27,IN-CONS-3433,Client_C,INV-IN-7681,IN-REF-206,33.16,Paris,Coventry Hub,International,2637.02
2025-06-19,IN-CONS-3742,Client_C,INV-IN-7754,IN-REF-207,17.12,Paris,Coventry Hub,International,3913.19
2025-06-25,IN-CONS-3960,Client_B,INV-IN-7746,IN-REF-208,11.78,Paris,Coventry Hub,International,1215.72
2025-06-21,IN-CONS-3876,Client_A,INV-IN-7112,IN-REF-209,30.96,Paris,Coventry Hub,International,3266.81
2025-06-19,IN-CONS-3026,Client_A,INV-IN-7878,IN-REF-210,13.84,Madrid,Coventry Hub,International,3496.09
2025-06-26,IN-CONS-3398,Client_B,INV-IN-7762,IN-REF-211,28.07,Madrid,Coventry Hub,International,4897.28
2025-06-10,IN-CONS-3030,Client_B,INV-IN-7281,IN-REF-212,20.06,Madrid,Coventry Hub,International,3553.95
2025-06-28,IN-CONS-3574,Client_B,INV-IN-7407,IN-REF-213,44.87,Paris,Coventry Hub,International,1844.61
2025-06-25,IN-CONS-3651,Client_B,INV-IN-7316,IN-REF-214,2.97,Madrid,Coventry Hub,International,2988.39
2025-06-24,IN-CONS-3917,Client_C,INV-IN-7995,IN-REF-215,23.81,Berlin,Coventry Hub,International,777.43
2025-06-13,IN-CONS-3814,Client_C,INV-IN-7093,IN-REF-216,38.83,Paris,Coventry Hub,International,713.68
2025-06-05,IN-CONS-3666,Client_C,INV-IN-7332,IN-REF-217,45.41,Paris,Coventry Hub,International,1384.25
2025-06-23,IN-CONS-3331,Client_C,INV-IN-7668,IN-REF-218,7.12,Berlin,Coventry Hub,International,1905.9
2025-06-02,IN-CONS-3679,Client_A,INV-IN-7530,IN-REF-219,42.15,Berlin,Coventry Hub,International,1269.81
2025-06-19,IN-CONS-3682,Client_B,INV-IN-7498,IN-REF-220,46.88,Berlin,Coventry Hub,International,2897.64
2025-06-12,IN-CONS-3167,Client_A,INV-IN-7640,IN-REF-221,27.78,Madrid,Coventry Hub,International,2876.12
