SHIPMENTDATE,BARCODE,ACCOUNTNUMBER,INVOICE_NUMBER,Consignment,REFERENCE,WEIGHT,VOLUMETRIC_WEIGHT,LENGTH,WIDTH,HEIGHT,PRODUCT_TYPE_NAME,Destination,ZONE,BASE_RATE,FINAL_PRICE
2025-06-02,BAR41679,ACC-711,INV-5497,CONS-1358,REF-018,18.15,19.5,80,95,94,Express,Birmingham,Zone 1,46.14,96.08
2025-06-18,BAR45126,ACC-169,INV-5414,CONS-1325,REF-019,22.45,31.48,18,74,94,Economy,Glasgow,Zone 2,20.33,41.2
2025-06-27,BAR32113,ACC-888,INV-5633,CONS-1105,REF-020,7.43,24.99,13,75,29,Express,Manchester,Zone 3,48.34,26.61
2025-06-07,BAR58527,ACC-337,INV-5325,CONS-1456,REF-021,1.8,5.85,45,54,41,Standard,Glasgow,Zone 3,10.66,89.38
2025-06-26,BAR21214,ACC-694,INV-5029,CONS-1430,REF-022,15.99,24.79,48,27,86,Standard,London,Zone 2,32.31,17.31
2025-06-15,BAR78869,ACC-303,INV-5287,CONS-1720,REF-023,7.93,7.17,39,99,30,Standard,Birmingham,Zone 2,39.59,90.16
2025-06-01,BAR48399,ACC-815,INV-5310,CONS-1860,REF-024,6.79,17.58,34,48,33,Express,Glasgow,Zone 2,30.03,20.19
2025-06-14,BAR70941,ACC-366,INV-5007,CONS-1051,REF-025,16.84,17.7,47,78,88,Express,Birmingham,Zone 2,46.73,71.45
2025-06-28,BAR75804,ACC-856,INV-5182,CONS-1400,REF-026,12.36,27.82,17,66,49,Economy,Manchester,Zone 1,45.27,63.74
2025-06-27,BAR24291,ACC-928,INV-5546,CONS-1384,REF-027,29.09,12.12,34,40,25,Economy,Manchester,Zone 3,25.53,55.53
2025-06-08,BAR90071,ACC-322,INV-5419,CONS-1387,REF-028,25.53,2.16,88,25,64,Express,Glasgow,Zone 3,35.68,27.35
2025-06-06,BAR27180,ACC-326,INV-5732,CONS-1175,REF-029,3.48,22.58,64,18,86,Express,London,Zone 3,42.72,89.61
2025-06-01,BAR70976,ACC-820,INV-5148,CONS-1844,REF-030,21.42,27.21,35,53,56,Standard,Manchester,Zone 3,5.5,22.29
2025-06-14,BAR98513,ACC-297,INV-5759,CONS-1152,REF-031,25.6,12.16,69,37,73,Economy,Birmingham,Zone 1,40.95,27.6
2025-06-24,BAR40300,ACC-610,INV-5987,CONS-1607,REF-032,0.57,18.68,44,79,28,Express,London,Zone 1,26.14,68.51
2025-06-07,BAR90351,ACC-295,INV-5714,CONS-1974,REF-033,0.84,33.53,40,20,81,Express,Manchester,Zone 3,25.75,79.11
2025-06-11,BAR59791,ACC-237,INV-5290,CONS-1771,REF-034,12.25,28.94,60,33,38,Economy,Glasgow,Zone 2,22.44,61.08
2025-06-03,BAR34852,ACC-893,INV-5104,CONS-1053,REF-035,8.46,20.67,43,70,98,Standard,Manchester,Zone 3,12.18,34.21
2025-06-11,BAR59760,ACC-983,INV-5139,CONS-1476,REF-036,20.36,28.7,80,10,83,Express,Manchester,Zone 2,19.28,76.56
2025-06-09,BAR85320,ACC-482,INV-5443,CONS-1046,REF-037,4.91,9.8,67,18,90,Economy,Glasgow,Zone 1,5.99,13.06
2025-06-03,BAR36758,ACC-907,INV-5696,CONS-1283,REF-038,24.07,1.77,73,35,50,Standard,Glasgow,Zone 1,36.59,14.88
2025-06-02,BAR83606,ACC-510,INV-5248,CONS-1084,REF-039,4.81,1.31,88,97,64,Economy,Birmingham,Zone 3,34.64,44.4
2025-06-21,BAR29287,ACC-330,INV-5594,CONS-1582,REF-040,17.78,29.18,25,90,28,Standard,Birmingham,Zone 2,24.31,88.78
2025-06-26,BAR81401,ACC-633,INV-5588,CONS-1611,REF-041,6.24,6.16,53,17,75,Standard,London,Zone 1,12.37,21.86
2025-06-25,BAR85441,ACC-400,INV-5442,CONS-1654,REF-042,19.78,33.67,43,59,55,Express,Manchester,Zone 3,33.49,10.54
2025-06-29,BAR80922,ACC-682,INV-5880,CONS-1064,REF-043,15.05,12.57,68,79,39,Standard,London,Zone 3,11.0,25.84
2025-06-03,BAR60383,ACC-768,INV-5782,CONS-1332,REF-044,12.26,32.23,36,42,85,Standard,Birmingham,Zone 1,22.58,42.12
2025-06-19,BAR37357,ACC-276,INV-5424,CONS-1734,REF-045,19.3,10.5,93,69,79,Express,London,Zone 2,30.84,90.73
2025-06-18,BAR80092,ACC-137,INV-5564,CONS-1086,REF-046,16.3,33.98,97,60,34,Express,Glasgow,Zone 3,20.16,64.84
2025-06-02,BAR40723,ACC-567,INV-5714,CONS-1426,REF-047,6.57,18.74,30,46,62,Express,Birmingham,Zone 2,25.88,45.97
2025-06-03,BAR73486,ACC-859,INV-5064,CONS-1175,REF-048,17.81,19.39,30,56,49,Express,London,Zone 3,25.08,61.71
2025-06-15,BAR23328,ACC-458,INV-5338,CONS-1039,REF-049,9.17,11.58,32,79,23,Economy,Birmingham,Zone 3,7.2,34.53
2025-06-27,BAR38443,ACC-460,INV-5240,CONS-1341,REF-050,18.89,1.18,79,84,45,Economy,London,Zone 1,46.27,50.19
2025-06-10,BAR91953,ACC-849,INV-5825,CONS-1560,REF-051,14.35,25.79,42,67,42,Express,London,Zone 3,16.37,56.75
2025-06-05,BAR32034,ACC-267,INV-5248,CONS-1625,REF-052,27.41,6.74,38,36,49,Express,Glasgow,Zone 3,40.25,43.17
2025-06-08,BAR12826,ACC-972,INV-5267,CONS-1809,REF-053,24.37,30.86,79,45,12,Standard,London,Zone 1,26.51,71.5
2025-06-14,BAR86368,ACC-188,INV-5959,CONS-1488,REF-054,8.05,34.72,70,14,61,Economy,Glasgow,Zone 1,23.63,93.26
2025-06-27,BAR93998,ACC-215,INV-5486,CONS-1498,REF-055,9.92,32.08,64,12,35,Express,London,Zone 1,13.69,73.78
2025-06-07,BAR77267,ACC-211,INV-5727,CONS-1798,REF-056,16.54,24.13,76,78,47,Economy,Manchester,Zone 1,22.79,62.03
2025-06-21,BAR30294,ACC-764,INV-5263,CONS-1293,REF-057,3.5,21.06,91,48,42,Standard,Birmingham,Zone 1,37.06,65.7
2025-06-16,BAR62840,ACC-223,INV-5264,CONS-1182,REF-058,5.66,23.68,92,50,42,Standard,Birmingham,Zone 2,29.98,43.48
2025-06-15,BAR51151,ACC-423,INV-5967,CONS-1538,REF-059,4.65,5.04,25,53,84,Standard,Birmingham,Zone 1,43.17,56.55
2025-06-10,BAR67865,ACC-422,INV-5478,CONS-1633,REF-060,15.68,22.82,58,74,32,Standard,Manchester,Zone 1,41.65,43.66
2025-06-18,BAR40429,ACC-576,INV-5296,CONS-1795,REF-061,19.47,15.31,35,82,38,Express,Manchester,Zone 3,49.54,57.55
2025-06-11,BAR40081,ACC-449,INV-5248,CONS-1223,REF-062,28.72,22.34,45,85,30,Standard,Birmingham,Zone 3,42.72,35.06
2025-06-19,BAR72374,ACC-548,INV-5894,CONS-1743,REF-063,7.61,15.49,66,35,63,Economy,Birmingham,Zone 1,34.58,46.1
2025-06-21,BAR36335,ACC-790,INV-5021,CONS-1343,REF-064,22.07,12.34,16,53,24,Economy,London,Zone 1,39.07,67.04
2025-06-15,BAR57023,ACC-999,INV-5711,CONS-1584,REF-065,5.19,18.46,13,66,81,Express,Manchester,Zone 1,17.98,67.78
2025-06-11,BAR37096,ACC-218,INV-5844,CONS-1000,REF-066,17.71,6.71,94,53,43,Express,Manchester,Zone 3,31.39,85.57
2025-06-29,BAR62215,ACC-308,INV-5580,CONS-1999,REF-067,3.34,6.17,36,22,75,Economy,Glasgow,Zone 1,27.76,99.98
2025-06-08,BAR20291,ACC-186,INV-5124,CONS-1117,REF-068,23.02,9.19,22,65,99,Economy,Glasgow,Zone 1,48.96,41.48
2025-06-05,BAR54734,ACC-378,INV-5480,CONS-1831,REF-069,1.76,21.15,89,73,73,Economy,Birmingham,Zone 3,8.0,72.22
2025-06-01,BAR15281,ACC-565,INV-5399,CONS-1234,REF-070,9.43,12.26,93,28,19,Economy,Manchester,Zone 2,15.08,13.79
2025-06-18,BAR17126,ACC-272,INV-5321,CONS-1825,REF-071,10.72,24.37,46,29,27,Economy,Manchester,Zone 1,45.9,80.6
2025-06-11,BAR15261,ACC-838,INV-5714,CONS-1026,REF-072,16.35,8.74,35,68,50,Economy,Glasgow,Zone 2,41.96,87.96
2025-06-03,BAR66084,ACC-110,INV-5442,CONS-1465,REF-073,10.48,3.03,93,52,80,Economy,Birmingham,Zone 2,48.61,94.94
2025-06-04,BAR17506,ACC-906,INV-5522,CONS-1468,REF-074,22.39,8.72,85,78,33,Economy,Manchester,Zone 3,47.65,50.16
2025-06-19,BAR87258,ACC-593,INV-5014,CONS-1640,REF-075,17.16,18.34,100,53,42,Express,Manchester,Zone 2,30.12,58.89
2025-06-16,BAR36844,ACC-938,INV-5975,CONS-1533,REF-076,25.03,3.41,12,26,96,Standard,Birmingham,Zone 3,47.31,75.51
2025-06-02,BAR71963,ACC-717,INV-5449,CONS-1627,REF-077,1.96,8.87,76,39,54,Economy,Glasgow,Zone 3,32.75,20.05
2025-06-27,BAR34312,ACC-351,INV-5478,CONS-1969,REF-078,24.92,11.34,74,24,18,Economy,London,Zone 2,25.61,22.06
2025-06-13,BAR11322,ACC-263,INV-5491,CONS-1809,REF-079,14.53,32.24,22,48,16,Standard,London,Zone 1,31.57,31.7
2025-06-09,BAR49397,ACC-510,INV-5695,CONS-1862,REF-080,19.0,7.98,28,19,100,Economy,Glasgow,Zone 2,49.7,31.38
2025-06-19,BAR33056,ACC-729,INV-5201,CONS-1561,REF-081,6.35,1.81,99,17,88,Economy,Birmingham,Zone 3,36.21,64.81
2025-06-11,BAR56040,ACC-872,INV-5543,CONS-1650,REF-082,15.37,32.03,13,37,96,Economy,Glasgow,Zone 3,44.62,43.32
2025-06-10,BAR52805,ACC-124,INV-5763,CONS-1465,REF-083,8.39,20.42,54,48,93,Express,Glasgow,Zone 1,7.46,19.71
2025-06-12,BAR32664,ACC-166,INV-5305,CONS-1866,REF-084,18.57,11.81,85,20,13,Standard,Manchester,Zone 2,35.04,52.76
2025-06-05,BAR24194,ACC-648,INV-5032,CONS-1106,REF-085,1.92,28.23,64,17,12,Express,Birmingham,Zone 1,34.63,21.02
2025-06-08,BAR10323,ACC-691,INV-5721,CONS-1213,REF-086,23.69,9.3,53,64,82,Express,Birmingham,Zone 1,47.81,46.84
2025-06-16,BAR77160,ACC-264,INV-5601,CONS-1445,REF-087,22.6,34.86,15,55,93,Standard,Birmingham,Zone 3,30.16,47.23
2025-06-15,BAR85690,ACC-431,INV-5840,CONS-1718,REF-088,19.7,4.2,44,32,44,Economy,Manchester,Zone 2,15.54,33.77
2025-06-21,BAR56420,ACC-868,INV-5652,CONS-1931,REF-089,28.6,9.31,65,15,80,Economy,Birmingham,Zone 1,24.16,20.44
2025-06-15,BAR44861,ACC-603,INV-5639,CONS-1131,REF-090,0.65,2.09,38,80,79,Economy,Manchester,Zone 2,46.52,43.12
2025-06-15,BAR20763,ACC-555,INV-5022,CONS-1142,REF-091,7.67,26.62,72,90,66,Economy,Birmingham,Zone 1,32.23,63.81
2025-06-22,BAR44233,ACC-908,INV-5067,CONS-1314,REF-092,22.03,16.84,90,62,90,Economy,Glasgow,Zone 2,19.88,69.65
2025-06-07,BAR36343,ACC-799,INV-5912,CONS-1091,REF-093,7.71,20.85,73,97,74,Standard,Birmingham,Zone 1,27.99,71.95
2025-06-07,BAR12235,ACC-705,INV-5328,CONS-1097,REF-094,29.99,20.87,27,13,59,Standard,Birmingham,Zone 1,11.27,61.69
2025-06-11,BAR75976,ACC-546,INV-5906,CONS-1460,REF-095,18.37,31.79,59,45,41,Economy,Glasgow,Zone 2,5.61,70.64
2025-06-11,BAR16938,ACC-830,INV-5105,CONS-1556,REF-096,28.29,21.48,28,96,16,Economy,Glasgow,Zone 1,41.11,28.05
2025-06-16,BAR78675,ACC-379,INV-5342,CONS-1598,REF-097,22.54,14.68,26,64,54,Standard,Birmingham,Zone 2,45.22,26.28
2025-06-15,BAR67280,ACC-624,INV-5438,CONS-1443,REF-098,17.04,19.59,74,22,37,Express,London,Zone 3,21.74,38.31
2025-06-08,BAR40768,ACC-581,INV-5272,CONS-1618,REF-099,18.32,18.83,60,38,47,Standard,London,Zone 1,33.42,87.81
2025-06-16,BAR68406,ACC-393,INV-5016,CONS-1999,REF-100,11.71,1.46,63,77,100,Economy,Birmingham,Zone 2,18.24,74.84
2025-06-20,BAR20628,ACC-835,INV-5044,CONS-1669,REF-101,16.64,34.5,83,94,36,Standard,Manchester,Zone 3,36.8,10.76
2025-06-24,BAR50519,ACC-246,INV-5418,CONS-1101,REF-102,26.06,32.89,96,84,90,Standard,London,Zone 3,15.05,70.54
2025-06-12,BAR92254,ACC-972,INV-5684,CONS-1222,REF-103,18.02,5.61,73,49,65,Economy,London,Zone 2,28.82,18.35
2025-06-09,BAR23051,ACC-226,INV-5793,CONS-1018,REF-104,5.13,33.07,42,61,73,Economy,London,Zone 1,31.29,61.54
2025-06-29,BAR59371,ACC-726,INV-5232,CONS-1557,REF-105,8.73,25.45,99,23,13,Express,Glasgow,Zone 3,29.34,27.36
2025-06-16,BAR28519,ACC-304,INV-5757,CONS-1223,REF-106,29.77,15.41,35,22,10,Economy,Glasgow,Zone 2,19.85,46.32
2025-06-23,BAR46246,ACC-570,INV-5065,CONS-1297,REF-107,26.84,32.63,12,52,79,Economy,Glasgow,Zone 3,26.89,26.6
2025-06-17,BAR17112,ACC-730,INV-5421,CONS-1411,REF-108,24.06,15.3,18,98,88,Express,Glasgow,Zone 1,44.31,91.4
2025-06-08,BAR33759,ACC-390,INV-5685,CONS-1679,REF-109,25.82,6.64,71,50,90,Economy,Birmingham,Zone 3,34.35,83.13
2025-06-23,BAR17658,ACC-610,INV-5839,CONS-1522,REF-110,21.04,8.64,33,22,12,Standard,Birmingham,Zone 2,22.35,66.04
2025-06-23,BAR24301,ACC-191,INV-5681,CONS-1724,REF-111,20.12,14.68,63,94,76,Standard,Glasgow,Zone 3,29.31,32.09
2025-06-05,BAR69414,ACC-856,INV-5914,CONS-1280,REF-112,25.46,5.83,74,69,49,Economy,Manchester,Zone 1,7.54,96.83
2025-06-06,BAR46092,ACC-701,INV-5407,CONS-1159,REF-113,8.23,30.95,41,32,62,Economy,London,Zone 1,14.1,73.16
2025-06-29,BAR71400,ACC-107,INV-5971,CONS-1805,REF-114,26.47,33.13,73,26,61,Express,London,Zone 3,29.29,17.19
2025-06-02,BAR91379,ACC-567,INV-5150,CONS-1253,REF-115,1.34,15.31,41,19,59,Economy,Glasgow,Zone 3,34.67,25.26
2025-06-09,BAR32421,ACC-793,INV-5728,CONS-1214,REF-116,6.83,24.73,74,69,44,Express,London,Zone 3,13.54,93.06
2025-06-05,BAR11389,ACC-750,INV-5962,CONS-1621,REF-117,16.13,2.07,31,61,35,Economy,Birmingham,Zone 3,9.91,83.15
2025-06-20,BAR31364,ACC-306,INV-5087,CONS-1462,REF-118,24.7,32.75,48,64,53,Economy,Manchester,Zone 2,21.16,39.8
2025-06-09,BAR89381,ACC-298,INV-5932,CONS-1047,REF-119,12.41,7.1,30,40,86,Economy,London,Zone 1,20.7,44.92
2025-06-21,BAR65296,ACC-882,INV-5413,CONS-1287,REF-120,17.04,19.73,88,43,47,Economy,London,Zone 2,10.2,74.42
2025-06-13,BAR93049,ACC-321,INV-5215,CONS-1783,REF-121,25.07,3.85,40,89,85,Standard,Birmingham,Zone 2,47.9,24.78
2025-06-04,BAR34945,ACC-802,INV-5765,CONS-1016,REF-122,23.95,5.57,73,25,23,Standard,London,Zone 3,42.12,44.75
2025-06-01,BAR95719,ACC-970,INV-5365,CONS-1079,REF-123,28.47,21.92,16,88,91,Economy,Manchester,Zone 3,24.8,13.71
2025-06-07,BAR44852,ACC-241,INV-5019,CONS-1177,REF-124,28.47,25.22,81,41,68,Standard,Glasgow,Zone 3,16.97,12.53
2025-06-16,BAR13073,ACC-431,INV-5562,CONS-1720,REF-125,26.06,15.8,78,50,97,Standard,London,Zone 2,43.87,90.19
2025-06-19,BAR95258,ACC-919,INV-5079,CONS-1102,REF-126,8.06,6.67,51,21,54,Express,Manchester,Zone 2,31.38,88.51
2025-06-10,BAR75384,ACC-393,INV-5502,CONS-1490,REF-127,15.71,3.48,54,43,68,Standard,Glasgow,Zone 2,18.77,79.2
2025-06-10,BAR26070,ACC-592,INV-5719,CONS-1080,REF-128,19.41,30.63,36,89,85,Express,London,Zone 1,32.05,55.29
2025-06-17,BAR95600,ACC-639,INV-5903,CONS-1109,REF-129,6.71,8.96,72,93,29,Express,Glasgow,Zone 2,33.73,56.38
2025-06-20,BAR85504,ACC-137,INV-5479,CONS-1391,REF-130,6.62,1.06,39,21,47,Express,Manchester,Zone 2,16.98,70.51
2025-06-22,BAR28383,ACC-568,INV-5395,CONS-1310,REF-131,12.0,29.31,80,33,66,Express,Glasgow,Zone 1,34.76,73.01
2025-06-09,BAR73039,ACC-699,INV-5179,CONS-1689,REF-132,21.35,6.11,82,24,67,Standard,London,Zone 2,5.83,78.3
2025-06-20,BAR13770,ACC-211,INV-5026,CONS-1108,REF-133,8.22,14.3,10,16,32,Express,London,Zone 1,24.18,35.61
2025-06-28,BAR53300,ACC-918,INV-5141,CONS-1766,REF-134,1.1,29.82,17,73,97,Express,Glasgow,Zone 1,19.66,16.12
2025-06-04,BAR22348,ACC-535,INV-5869,CONS-1649,REF-135,4.1,34.51,41,100,25,Express,Birmingham,Zone 1,33.19,35.12
2025-06-05,BAR81083,ACC-607,INV-5213,CONS-1828,REF-136,21.74,33.28,76,24,20,Economy,London,Zone 2,23.25,12.52
2025-06-16,BAR14807,ACC-794,INV-5021,CONS-1410,REF-137,12.79,8.29,22,84,96,Standard,Glasgow,Zone 3,9.84,95.58
2025-06-17,BAR51285,ACC-413,INV-5371,CONS-1914,REF-138,10.62,8.21,40,30,18,Standard,Manchester,Zone 3,6.74,27.69
2025-06-29,BAR43902,ACC-710,INV-5902,CONS-1496,REF-139,13.61,13.36,76,23,15,Express,Glasgow,Zone 1,27.83,94.55
2025-06-22,BAR21371,ACC-137,INV-5400,CONS-1739,REF-140,10.7,16.23,25,95,51,Standard,Birmingham,Zone 3,18.2,51.46
2025-06-15,BAR57813,ACC-393,INV-5279,CONS-1330,REF-141,13.9,22.62,12,84,58,Express,Glasgow,Zone 2,16.99,68.74
2025-06-07,BAR22032,ACC-889,INV-5838,CONS-1357,REF-142,4.98,5.54,39,12,15,Standard,Manchester,Zone 1,45.3,64.97
2025-06-24,BAR17420,ACC-801,INV-5618,CONS-1009,REF-143,6.96,32.75,70,50,93,Standard,London,Zone 3,41.17,20.64
2025-06-28,BAR37863,ACC-273,INV-5733,CONS-1508,REF-144,23.02,7.24,80,40,27,Standard,Manchester,Zone 3,27.32,80.86
2025-06-21,BAR70507,ACC-347,INV-5738,CONS-1488,REF-145,0.66,26.17,40,95,79,Economy,Glasgow,Zone 3,25.73,66.33
2025-06-26,BAR28368,ACC-268,INV-5591,CONS-1174,REF-146,25.48,6.07,88,97,26,Economy,Birmingham,Zone 1,13.22,77.63
2025-06-09,BAR69559,ACC-542,INV-5038,CONS-1310,REF-147,23.85,26.42,83,54,14,Economy,London,Zone 3,45.9,18.53
2025-06-25,BAR33476,ACC-413,INV-5190,CONS-1363,REF-148,14.48,6.75,57,66,39,Economy,Glasgow,Zone 1,12.88,87.13
2025-06-07,BAR31827,ACC-566,INV-5011,CONS-1322,REF-149,16.27,9.34,36,89,74,Economy,Manchester,Zone 2,25.54,94.75
2025-06-06,BAR37166,ACC-470,INV-5429,CONS-1566,REF-150,22.4,27.72,89,41,41,Standard,Glasgow,Zone 2,36.79,89.52
2025-06-12,BAR19427,ACC-826,INV-5572,CONS-1127,REF-151,19.26,17.79,61,19,72,Economy,London,Zone 2,21.12,77.5
2025-06-02,BAR78527,ACC-824,INV-5525,CONS-1773,REF-152,1.23,3.06,72,97,63,Express,Glasgow,Zone 3,8.32,42.02
2025-06-14,BAR62649,ACC-773,INV-5448,CONS-1773,REF-153,5.08,21.43,67,54,75,Economy,Manchester,Zone 1,48.6,58.04
2025-06-24,BAR50541,ACC-656,INV-5203,CONS-1768,REF-154,18.41,10.1,38,67,57,Economy,Glasgow,Zone 2,44.07,90.17
2025-06-11,BAR50132,ACC-700,INV-5740,CONS-1912,REF-155,18.61,25.37,11,25,30,Economy,Manchester,Zone 1,36.82,61.62
2025-06-23,BAR78767,ACC-659,INV-5318,CONS-1604,REF-156,19.71,28.29,83,78,26,Economy,Manchester,Zone 3,13.55,90.0
2025-06-10,BAR26263,ACC-743,INV-5084,CONS-1277,REF-157,19.33,27.43,65,92,87,Economy,Birmingham,Zone 1,20.94,60.27
2025-06-02,BAR62428,ACC-534,INV-5754,CONS-1024,REF-158,12.38,1.04,98,71,82,Standard,Glasgow,Zone 1,26.29,65.14
2025-06-12,BAR37036,ACC-807,INV-5447,CONS-1651,REF-159,11.31,5.76,20,82,78,Economy,Glasgow,Zone 1,15.74,78.02
2025-06-02,BAR83868,ACC-764,INV-5504,CONS-1590,REF-160,22.72,32.96,93,84,77,Economy,Manchester,Zone 2,30.52,85.18
2025-06-22,BAR88997,ACC-560,INV-5341,CONS-1253,REF-161,7.79,14.3,89,18,77,Standard,Birmingham,Zone 2,7.15,29.39
2025-06-02,BAR26207,ACC-723,INV-5848,CONS-1120,REF-162,10.55,21.55,69,19,95,Standard,Birmingham,Zone 1,7.92,60.24
2025-06-16,BAR33258,ACC-179,INV-5080,CONS-1711,REF-163,29.17,16.42,29,98,11,Standard,Birmingham,Zone 1,44.9,78.42
2025-06-23,BAR64355,ACC-807,INV-5426,CONS-1383,REF-164,18.48,29.61,66,52,63,Economy,Manchester,Zone 2,17.63,35.2
2025-06-21,BAR52912,ACC-783,INV-5800,CONS-1917,REF-165,11.49,12.44,96,22,87,Standard,Glasgow,Zone 2,23.25,26.47
2025-06-18,BAR85067,ACC-969,INV-5968,CONS-1675,REF-166,21.21,22.77,12,52,17,Express,Glasgow,Zone 2,37.21,28.44
2025-06-13,BAR78174,ACC-205,INV-5180,CONS-1572,REF-167,16.06,20.46,70,46,17,Economy,Glasgow,Zone 2,35.58,34.61
2025-06-02,BAR89510,ACC-495,INV-5896,CONS-1612,REF-168,23.85,16.23,19,76,87,Express,Birmingham,Zone 3,5.87,70.46
2025-06-19,BAR32389,ACC-771,INV-5596,CONS-1824,REF-169,11.83,8.29,96,49,51,Standard,London,Zone 3,14.08,39.15
2025-06-12,BAR79990,ACC-987,INV-5987,CONS-1557,REF-170,5.19,6.92,15,60,34,Economy,Birmingham,Zone 1,11.98,52.14
2025-06-14,BAR89615,ACC-329,INV-5873,CONS-1778,REF-171,20.33,33.13,28,88,17,Economy,Glasgow,Zone 2,19.11,36.46
2025-06-11,BAR48256,ACC-206,INV-5947,CONS-1253,REF-172,14.29,20.52,82,36,57,Express,Manchester,Zone 3,35.9,47.14
2025-06-18,BAR64984,ACC-524,INV-5053,CONS-1831,REF-173,15.66,34.37,76,16,68,Economy,London,Zone 3,9.44,54.24
2025-06-04,BAR36582,ACC-539,INV-5498,CONS-1104,REF-174,12.79,18.84,51,68,76,Economy,London,Zone 3,32.65,90.75
2025-06-20,BAR80820,ACC-691,INV-5445,CONS-1640,REF-175,2.37,30.05,11,88,79,Express,Birmingham,Zone 1,29.37,91.9
2025-06-25,BAR78857,ACC-671,INV-5674,CONS-1215,REF-176,6.77,5.55,52,49,35,Economy,London,Zone 2,21.76,79.19
2025-06-09,BAR81801,ACC-130,INV-5915,CONS-1139,REF-177,17.14,30.11,14,45,57,Standard,Birmingham,Zone 3,6.38,63.52
2025-06-15,BAR51181,ACC-402,INV-5631,CONS-1559,REF-178,9.48,20.52,22,48,43,Standard,Glasgow,Zone 1,26.06,90.66
2025-06-25,BAR78886,ACC-554,INV-5262,CONS-1949,REF-179,3.17,4.22,50,36,40,Standard,London,Zone 3,39.02,54.18
2025-06-05,BAR76976,ACC-782,INV-5360,CONS-1372,REF-180,14.43,26.74,58,86,43,Express,London,Zone 1,21.99,76.22
2025-06-25,BAR86426,ACC-106,INV-5966,CONS-1913,REF-181,7.4,33.43,32,71,32,Express,London,Zone 1,11.59,64.56
2025-06-22,BAR99846,ACC-211,INV-5556,CONS-1923,REF-182,21.8,33.23,24,50,55,Economy,London,Zone 3,29.46,87.94
2025-06-09,BAR27510,ACC-159,INV-5781,CONS-1918,REF-183,16.95,8.08,59,30,16,Express,Manchester,Zone 2,47.71,89.71
2025-06-21,BAR58292,ACC-875,INV-5849,CONS-1802,REF-184,10.31,10.55,72,25,25,Economy,Manchester,Zone 1,35.99,22.82
2025-06-19,BAR65379,ACC-499,INV-5550,CONS-1242,REF-185,22.44,31.84,44,53,34,Standard,Manchester,Zone 2,8.09,90.58
